,ID,Actual_pd_train,Predict_pd_train,Predict_Probability_train
34595,34596,0,0,0.14735053
116164,116165,0,0,0.048292726
38684,38685,0,0,0.0524235
15387,15388,0,0,0.32247132
18697,18698,1,0,0.116059475
106210,106211,0,0,0.057782907
138367,138368,0,0,0.05941362
87373,87374,0,0,0.11614117
60581,60582,0,0,0.052525938
72008,72009,1,0,0.089996666
51390,51391,0,0,0.058567427
34433,34434,0,0,0.060519073
83661,83662,0,0,0.16798693
29218,29219,0,0,0.057672884
104533,104534,0,0,0.048916455
113609,113610,0,0,0.052320793
49108,49109,0,0,0.07430984
58998,58999,0,0,0.055350643
19125,19126,0,0,0.089024656
35741,35742,0,0,0.100664556
7194,7195,0,0,0.09293017
4960,4961,0,0,0.0680926
116208,116209,0,0,0.104044825
125943,125944,0,0,0.05600315
5733,5734,0,0,0.07719434
1795,1796,0,0,0.18411827
99532,99533,0,0,0.073873006
18671,18672,0,0,0.05679959
75904,75905,0,0,0.06113861
39254,39255,0,0,0.08591427
121749,121750,0,0,0.07479228
63787,63788,0,0,0.059875503
78105,78106,0,0,0.07520067
61165,61166,0,0,0.06688225
33138,33139,1,0,0.22885968
61491,61492,0,0,0.083253935
146078,146079,0,0,0.05297805
65303,65304,0,0,0.058109928
133899,133900,0,0,0.057716712
29960,29961,0,0,0.05092798
123133,123134,1,1,0.50862366
149630,149631,0,0,0.1237935
69339,69340,0,0,0.131775
72137,72138,0,0,0.051107753
76204,76205,0,0,0.054691616
124416,124417,0,0,0.17470577
5934,5935,0,0,0.06466298
131281,131282,0,0,0.09445267
3510,3511,0,0,0.09501707
98128,98129,0,0,0.05246084
23788,23789,0,0,0.054739136
32008,32009,0,0,0.09048357
116907,116908,0,0,0.060706276
147815,147816,0,0,0.06651633
4166,4167,0,0,0.08041204
90538,90539,0,0,0.08191807
97517,97518,0,0,0.089663915
148587,148588,0,0,0.06001316
115199,115200,0,0,0.071268745
96863,96864,0,0,0.07833254
91100,91101,0,0,0.22187793
119981,119982,0,0,0.32874003
36192,36193,0,0,0.060831837
122006,122007,0,0,0.061503768
105363,105364,0,0,0.093026556
33289,33290,0,0,0.060242217
93493,93494,0,0,0.38705674
34857,34858,0,0,0.058506828
11403,11404,0,0,0.06690239
116226,116227,0,0,0.15491183
112658,112659,0,0,0.052812673
77009,77010,0,0,0.06281918
110554,110555,0,0,0.060801607
34148,34149,1,1,0.5877778
132840,132841,0,0,0.103950456
113053,113054,0,0,0.0541401
8479,8480,0,0,0.060224045
31393,31394,0,0,0.10362288
34475,34476,0,0,0.06005452
76300,76301,0,0,0.0887192
146138,146139,0,0,0.064054556
126423,126424,0,0,0.052415125
12114,12115,0,0,0.055260368
136264,136265,0,0,0.06998078
30834,30835,0,0,0.09727339
102689,102690,0,0,0.0556729
109265,109266,0,0,0.13002901
2790,2791,0,0,0.10354569
80440,80441,0,0,0.10763002
37523,37524,0,0,0.09576112
70503,70504,0,0,0.09001076
4948,4949,0,0,0.056526233
105349,105350,0,0,0.07400321
54357,54358,0,0,0.0656726
4730,4731,0,0,0.069613285
73828,73829,0,0,0.059581526
97444,97445,0,0,0.05010047
122127,122128,0,0,0.062032975
101648,101649,0,0,0.080473
65825,65826,0,0,0.066119775
130611,130612,0,0,0.052429922
73477,73478,0,0,0.08304145
42640,42641,0,0,0.0486737
95049,95050,0,0,0.05735058
6058,6059,0,0,0.10380881
99049,99050,0,0,0.059545107
142535,142536,1,0,0.48813495
102022,102023,0,0,0.08176472
86773,86774,0,0,0.05391602
85354,85355,1,0,0.17535317
58708,58709,0,0,0.06589979
10197,10198,0,0,0.08262374
83142,83143,0,0,0.11197196
86662,86663,0,0,0.053072006
77938,77939,0,0,0.13998881
140352,140353,0,0,0.10569602
116065,116066,0,0,0.1264658
120776,120777,0,0,0.09128989
145474,145475,0,0,0.10002957
60677,60678,0,0,0.05203705
66241,66242,0,0,0.067291096
24788,24789,0,0,0.09646617
50073,50074,0,0,0.123212345
75435,75436,0,0,0.13822252
106257,106258,0,0,0.057705093
10468,10469,0,0,0.061741214
114519,114520,0,0,0.07441535
45753,45754,0,0,0.05763811
45044,45045,0,0,0.054202545
114110,114111,0,0,0.15160383
143232,143233,0,0,0.060640775
12152,12153,0,0,0.05735646
121974,121975,0,0,0.052036483
18241,18242,0,0,0.06817735
4276,4277,0,0,0.051338423
21167,21168,0,0,0.053048003
3985,3986,0,0,0.064277455
106931,106932,0,0,0.07328364
5508,5509,0,0,0.1031929
82428,82429,0,0,0.13573134
18873,18874,0,0,0.19894941
18208,18209,0,0,0.06974767
56914,56915,0,0,0.07040937
101312,101313,0,0,0.093065426
82792,82793,0,0,0.29145816
144555,144556,0,0,0.06424134
139983,139984,0,0,0.061367627
92484,92485,0,0,0.07311921
129787,129788,1,0,0.48044395
80030,80031,0,0,0.09278836
107266,107267,0,0,0.25458547
91404,91405,0,0,0.08998204
96539,96540,0,0,0.0755295
92839,92840,0,0,0.057599414
120148,120149,0,0,0.052758243
100202,100203,0,0,0.04840294
103820,103821,0,0,0.061081268
101632,101633,1,0,0.0989701
109361,109362,0,0,0.089396805
138599,138600,0,0,0.080453634
86092,86093,0,0,0.1819597
96502,96503,0,0,0.14191382
98189,98190,0,0,0.075414866
28794,28795,0,0,0.06710545
30707,30708,0,0,0.049407784
140030,140031,0,0,0.09654274
44371,44372,1,1,0.6339971
39498,39499,0,0,0.05986717
103990,103991,0,0,0.3130209
22622,22623,0,0,0.0541279
146772,146773,0,0,0.059464745
29824,29825,0,0,0.16499229
117201,117202,0,0,0.050619144
55489,55490,0,0,0.052155796
55484,55485,0,0,0.079104036
25243,25244,0,0,0.056635723
33913,33914,0,0,0.050309658
118189,118190,0,0,0.31767583
144685,144686,0,0,0.05132519
39718,39719,0,0,0.061105683
71258,71259,0,0,0.122158036
30278,30279,0,0,0.07738301
15375,15376,0,0,0.07969069
52494,52495,0,0,0.06170054
63285,63286,0,0,0.05479181
109192,109193,0,0,0.053596754
82695,82696,0,0,0.13945673
109082,109083,0,0,0.22347036
89297,89298,0,0,0.15342283
48403,48404,0,0,0.102275684
51581,51582,0,0,0.051053368
102590,102591,0,0,0.05497445
25150,25151,0,0,0.06158105
44985,44986,0,0,0.096727125
50342,50343,0,0,0.3614082
29763,29764,0,0,0.052278016
21434,21435,0,0,0.05987928
34518,34519,0,0,0.061562017
103084,103085,0,0,0.06265495
77267,77268,0,0,0.054294527
50990,50991,0,0,0.22247012
139541,139542,1,0,0.118852615
15608,15609,1,0,0.34232652
129810,129811,0,0,0.06601587
56068,56069,0,0,0.055063415
137451,137452,0,0,0.04912306
122354,122355,0,0,0.0705596
135218,135219,0,0,0.17433159
24919,24920,0,0,0.051966406
58974,58975,0,0,0.07672816
95310,95311,0,0,0.06879586
129482,129483,0,0,0.13568102
77181,77182,0,0,0.095891714
84118,84119,0,0,0.078042805
98169,98170,0,0,0.078805506
60843,60844,0,0,0.067481264
2533,2534,0,0,0.051910926
90686,90687,0,0,0.05189278
63096,63097,0,0,0.08905753
85428,85429,0,0,0.072085075
60183,60184,0,0,0.17918096
123514,123515,0,0,0.055649683
29374,29375,0,0,0.07320729
45797,45798,0,0,0.048581544
13873,13874,0,0,0.061601743
44996,44997,0,0,0.06226861
117535,117536,0,0,0.068661064
9777,9778,0,0,0.2688242
103837,103838,0,0,0.08113276
27982,27983,0,0,0.42240667
39407,39408,0,0,0.053196494
105265,105266,0,0,0.063177794
63973,63974,0,0,0.057578955
124932,124933,0,0,0.06163265
116359,116360,0,0,0.11505079
137905,137906,0,0,0.072711885
37651,37652,0,0,0.12728865
71630,71631,1,0,0.09826261
92644,92645,0,0,0.06592041
32209,32210,1,0,0.47097635
118965,118966,0,0,0.14452499
101851,101852,0,0,0.05825792
2540,2541,0,0,0.051561546
124624,124625,0,0,0.105789386
119944,119945,0,0,0.0570662
103096,103097,0,0,0.048520036
144963,144964,0,0,0.070080295
19197,19198,0,0,0.081203915
17835,17836,0,0,0.08548451
84773,84774,0,0,0.070210285
70203,70204,0,0,0.084709555
98158,98159,0,0,0.058169242
143267,143268,0,0,0.05096541
78867,78868,1,1,0.6137467
49763,49764,1,1,0.5400685
112672,112673,0,0,0.07210831
78692,78693,0,0,0.05087655
29201,29202,0,0,0.23317817
35147,35148,0,0,0.07155906
88350,88351,0,0,0.06887633
62855,62856,0,0,0.06852727
42430,42431,0,0,0.058705833
103005,103006,0,0,0.054562125
71116,71117,0,0,0.05389445
104086,104087,0,0,0.07094461
70773,70774,0,0,0.07379323
42009,42010,0,0,0.13810852
131326,131327,1,0,0.38703454
115177,115178,0,0,0.22771144
58196,58197,0,0,0.07743269
125404,125405,1,0,0.14621393
51913,51914,0,0,0.05850843
106401,106402,0,0,0.05468667
85329,85330,0,0,0.12688851
83880,83881,1,0,0.10473116
58572,58573,0,0,0.049195766
110879,110880,0,0,0.062400173
82946,82947,0,0,0.092104845
78240,78241,0,0,0.052934494
134870,134871,0,0,0.08323616
9922,9923,0,0,0.05299807
8757,8758,0,0,0.20104463
31338,31339,0,0,0.047700822
133311,133312,0,0,0.061470076
43167,43168,0,0,0.04924861
29167,29168,0,0,0.065668195
67054,67055,0,0,0.064024605
141371,141372,0,0,0.13037828
93755,93756,0,0,0.12532236
27168,27169,0,0,0.04862281
77375,77376,0,0,0.06496227
71425,71426,0,0,0.055446323
121714,121715,0,0,0.10229917
73962,73963,0,0,0.058418006
123716,123717,0,0,0.049400397
129094,129095,0,0,0.06838766
70269,70270,0,0,0.053613853
127611,127612,0,0,0.092736974
118401,118402,0,0,0.18986294
12146,12147,1,0,0.10384151
85598,85599,0,0,0.055048533
135391,135392,0,0,0.06841148
40244,40245,0,0,0.06285671
48856,48857,0,0,0.09603132
107894,107895,0,0,0.054344103
114150,114151,0,0,0.17388858
57762,57763,1,0,0.07818984
126833,126834,0,0,0.051848512
140366,140367,0,0,0.08733068
39951,39952,0,0,0.048854496
43555,43556,0,0,0.10274904
144174,144175,0,0,0.059860595
127799,127800,0,0,0.052407738
34391,34392,0,0,0.05105157
143192,143193,0,0,0.056141607
88347,88348,0,0,0.08319884
106708,106709,0,0,0.049556818
93970,93971,0,0,0.061868403
127544,127545,0,0,0.057165604
66900,66901,1,0,0.3514982
74157,74158,1,0,0.09319556
53335,53336,0,0,0.31565744
93273,93274,1,0,0.11220337
7893,7894,0,0,0.06762856
21278,21279,0,0,0.08791734
79463,79464,0,0,0.06746873
132685,132686,0,0,0.055305842
87174,87175,0,0,0.13064358
114677,114678,0,0,0.06682446
50665,50666,0,0,0.051091325
59597,59598,0,0,0.08585817
86113,86114,0,1,0.56917304
55856,55857,0,0,0.17473944
105787,105788,0,0,0.06244675
8589,8590,0,0,0.05417175
6413,6414,0,0,0.050144035
122556,122557,0,0,0.054005563
25548,25549,0,0,0.14292021
100991,100992,0,0,0.06701983
110835,110836,0,0,0.04941491
61744,61745,0,0,0.058717865
40042,40043,0,0,0.099747844
38064,38065,0,0,0.054616805
24385,24386,0,0,0.084997214
118967,118968,0,0,0.1208925
136428,136429,0,0,0.07207085
52102,52103,0,0,0.11998953
137825,137826,0,0,0.06656596
31085,31086,0,0,0.052179646
16627,16628,0,0,0.053947624
124285,124286,0,0,0.17451984
45463,45464,0,0,0.1466352
32344,32345,0,0,0.12224219
53259,53260,0,0,0.06175112
50615,50616,0,0,0.25346118
15377,15378,0,0,0.071546115
110716,110717,0,0,0.08902848
118985,118986,0,0,0.097388886
46040,46041,0,0,0.06747369
72818,72819,0,0,0.10281756
87253,87254,0,0,0.12778981
125947,125948,0,0,0.061533816
147355,147356,0,0,0.11280707
58302,58303,0,0,0.46725696
131176,131177,0,0,0.0586214
74237,74238,0,0,0.05262826
108599,108600,0,0,0.05693835
72166,72167,0,0,0.054741733
92507,92508,0,0,0.10147644
118192,118193,0,0,0.053779185
65070,65071,0,0,0.060535718
97577,97578,0,0,0.08578196
61218,61219,0,0,0.08169355
38092,38093,0,0,0.052612998
61907,61908,0,0,0.1765274
131664,131665,0,0,0.070405364
122891,122892,0,0,0.07340991
142343,142344,0,0,0.08127547
6959,6960,0,0,0.08778263
60270,60271,0,0,0.33368957
92804,92805,0,0,0.056014795
6643,6644,0,0,0.056333184
89981,89982,0,0,0.07032943
21001,21002,0,0,0.06781835
17221,17222,0,0,0.12630863
75055,75056,0,0,0.054141976
123092,123093,0,0,0.05438085
108617,108618,0,0,0.09520361
139145,139146,0,0,0.058970254
80760,80761,0,0,0.052600168
42525,42526,0,0,0.1208916
115148,115149,0,0,0.10142582
38315,38316,0,0,0.06197063
142141,142142,0,0,0.06355204
44303,44304,0,0,0.0862748
92263,92264,0,0,0.049955964
124342,124343,0,0,0.05005846
81620,81621,0,0,0.099970475
13551,13552,0,0,0.08298524
19587,19588,1,0,0.24211766
119607,119608,0,0,0.097302094
97594,97595,0,0,0.053684376
26217,26218,0,0,0.07515674
31320,31321,0,0,0.06742004
3156,3157,0,0,0.09844304
39364,39365,0,0,0.070143946
114203,114204,0,0,0.04862002
33953,33954,0,0,0.06842365
127394,127395,0,0,0.08656789
17707,17708,0,0,0.07885579
37213,37214,0,0,0.075367846
84590,84591,0,0,0.07398853
1738,1739,0,0,0.063262485
23770,23771,0,0,0.06579871
79839,79840,0,0,0.10391366
15028,15029,0,0,0.053793173
118584,118585,0,0,0.07438297
99674,99675,0,0,0.11505079
20445,20446,0,0,0.056497533
82560,82561,0,0,0.07201233
146459,146460,0,0,0.1370749
41028,41029,0,0,0.049226087
67330,67331,0,0,0.061752167
18600,18601,0,0,0.060140356
31645,31646,0,0,0.05495451
127856,127857,0,0,0.12630513
47215,47216,0,0,0.092064716
84103,84104,0,0,0.051584963
5098,5099,0,0,0.16630813
24360,24361,0,0,0.06600551
99332,99333,0,0,0.19208588
2231,2232,0,0,0.050086107
149747,149748,0,0,0.048414778
24554,24555,0,0,0.049285952
107615,107616,0,0,0.058966883
29099,29100,0,0,0.064355746
19867,19868,0,0,0.092822015
85013,85014,0,0,0.065671586
10884,10885,0,0,0.059788235
33299,33300,0,0,0.062575564
82373,82374,0,0,0.09233631
50134,50135,0,0,0.11660998
76651,76652,0,0,0.07403289
46826,46827,0,0,0.05608983
127034,127035,0,0,0.05383605
56105,56106,0,0,0.07184371
50598,50599,0,0,0.061783407
28921,28922,0,0,0.05271332
43231,43232,0,0,0.081690975
22155,22156,0,0,0.30359295
22798,22799,0,0,0.05077693
28839,28840,0,0,0.057579625
69346,69347,0,0,0.05040916
144168,144169,0,0,0.064619444
21147,21148,0,0,0.05552879
8395,8396,0,0,0.050783917
45212,45213,0,0,0.06302249
125635,125636,0,0,0.08290273
20212,20213,0,0,0.04896527
9890,9891,0,0,0.058357
5401,5402,0,0,0.057231214
1413,1414,0,0,0.08032666
91762,91763,0,0,0.04819211
39352,39353,0,0,0.050026055
89790,89791,0,0,0.06680431
137513,137514,0,0,0.08921095
70054,70055,0,0,0.06474415
90643,90644,0,0,0.049221322
136645,136646,0,0,0.05962903
108039,108040,1,0,0.38940376
105113,105114,0,0,0.078868985
118749,118750,0,0,0.070798196
63323,63324,0,0,0.07598355
7000,7001,0,0,0.04902364
58774,58775,0,0,0.113706246
83622,83623,0,0,0.13610458
126250,126251,0,0,0.05910698
126424,126425,0,0,0.054692935
88452,88453,0,0,0.06859012
189,190,0,0,0.08898137
13836,13837,0,0,0.17358929
19230,19231,0,0,0.11222318
116602,116603,0,0,0.14436729
140875,140876,0,0,0.05355955
64772,64773,0,0,0.18857779
97121,97122,0,0,0.083079346
90266,90267,0,0,0.070055984
18012,18013,0,0,0.08372981
68304,68305,0,0,0.053667154
88639,88640,0,0,0.108462974
90195,90196,0,0,0.048888955
541,542,0,0,0.4820896
84104,84105,0,0,0.059274167
60609,60610,0,0,0.10796754
40790,40791,0,0,0.13417973
130374,130375,0,0,0.06898993
60371,60372,0,0,0.0929787
125171,125172,0,0,0.06673301
138980,138981,0,0,0.13369891
148650,148651,0,0,0.062028687
79634,79635,0,0,0.07177473
129818,129819,0,0,0.062183827
107915,107916,0,0,0.113654144
35440,35441,0,0,0.05040916
95278,95279,0,0,0.1504255
137218,137219,0,0,0.07271959
13613,13614,0,0,0.09538873
146428,146429,0,0,0.09322528
103022,103023,0,0,0.055597957
102675,102676,0,0,0.049337234
41762,41763,0,0,0.058816206
119951,119952,0,0,0.078614265
43659,43660,0,0,0.048797034
98461,98462,0,0,0.18660538
126384,126385,1,0,0.13115521
57591,57592,0,0,0.08070235
116768,116769,0,0,0.06263049
110092,110093,0,0,0.0959919
71133,71134,0,0,0.2697406
132413,132414,1,0,0.41177028
132011,132012,0,0,0.08135407
104367,104368,0,0,0.23883031
110448,110449,0,0,0.18642622
55353,55354,0,0,0.056264624
135627,135628,0,0,0.09162837
9600,9601,0,0,0.05384645
84589,84590,0,0,0.053075973
117116,117117,0,0,0.12831442
42901,42902,0,0,0.10228027
89479,89480,1,1,0.6914301
101087,101088,0,0,0.051896602
95741,95742,0,0,0.067154065
86188,86189,0,0,0.1668934
148580,148581,0,0,0.063149564
106345,106346,1,0,0.17773561
73751,73752,0,0,0.116794564
128334,128335,0,0,0.08157545
135588,135589,0,0,0.05275693
140411,140412,0,0,0.061504748
31500,31501,0,0,0.12549104
104318,104319,0,0,0.1042652
8590,8591,0,0,0.07557125
98903,98904,0,0,0.048018053
37635,37636,0,0,0.068182915
53625,53626,0,0,0.058415294
143349,143350,0,0,0.05171858
114431,114432,0,0,0.08908954
137239,137240,0,0,0.05244327
132251,132252,0,0,0.0867956
36541,36542,0,0,0.055603098
68982,68983,0,0,0.078661025
114796,114797,0,0,0.06220565
82934,82935,0,0,0.07120497
124529,124530,0,0,0.058630206
54675,54676,0,0,0.0883623
50762,50763,0,0,0.052438438
47318,47319,0,0,0.058870286
116651,116652,0,0,0.06005297
40892,40893,0,0,0.075631216
19066,19067,0,0,0.06979702
144355,144356,0,0,0.05375599
1737,1738,0,0,0.062790334
63940,63941,0,0,0.04875326
107393,107394,0,0,0.2265564
14775,14776,0,0,0.08607369
50325,50326,0,0,0.07157906
72463,72464,1,0,0.32829472
103216,103217,0,0,0.10043667
131090,131091,0,0,0.088273175
103368,103369,0,0,0.052692357
125846,125847,0,0,0.04913599
21256,21257,0,0,0.08275301
95917,95918,1,0,0.22915606
77481,77482,0,0,0.06430445
16001,16002,0,0,0.10977491
18554,18555,0,0,0.048965562
72148,72149,0,0,0.0486841
89830,89831,0,0,0.061940525
139418,139419,0,0,0.076154545
49729,49730,0,0,0.054851115
62183,62184,0,0,0.051437054
114461,114462,0,0,0.055856667
38358,38359,0,0,0.051917065
11638,11639,0,0,0.060933694
102623,102624,0,0,0.05725215
61822,61823,0,0,0.080967344
59940,59941,0,0,0.058029596
140962,140963,1,0,0.118974335
32340,32341,0,0,0.04970088
8035,8036,0,0,0.052161857
62767,62768,0,0,0.1489786
53728,53729,0,0,0.04925936
146900,146901,0,0,0.08728565
101395,101396,0,0,0.059449084
59185,59186,0,0,0.059106637
82689,82690,0,0,0.048508745
89548,89549,0,0,0.05247814
15541,15542,0,0,0.072211705
13614,13615,0,0,0.07293754
73159,73160,0,0,0.16984849
136245,136246,0,0,0.24645987
118855,118856,0,0,0.07691683
134820,134821,0,0,0.060036395
122734,122735,0,0,0.11865701
140644,140645,0,0,0.1486284
146609,146610,0,0,0.05741293
92577,92578,0,0,0.070941165
60347,60348,0,0,0.10206564
95240,95241,0,0,0.056635395
33736,33737,0,0,0.052011404
10052,10053,0,0,0.11222047
145916,145917,0,0,0.09185293
56521,56522,0,0,0.05590254
16898,16899,0,0,0.08459529
88471,88472,0,0,0.0542443
75926,75927,0,0,0.09476677
43722,43723,0,0,0.18726793
25044,25045,0,0,0.062103596
117625,117626,0,0,0.06411604
62961,62962,0,0,0.1715804
34232,34233,0,0,0.10793709
149144,149145,0,0,0.077084616
108015,108016,0,0,0.048880853
20067,20068,0,0,0.057152536
20317,20318,0,0,0.06494081
95792,95793,0,0,0.064478606
146003,146004,0,0,0.060031597
122844,122845,0,0,0.05010226
98902,98903,1,0,0.1084999
60646,60647,1,0,0.3577649
12347,12348,1,0,0.2604032
30663,30664,0,0,0.055174682
85111,85112,0,0,0.059704926
13149,13150,0,0,0.10706287
50836,50837,0,0,0.06312421
14945,14946,0,0,0.058681842
102438,102439,0,0,0.11156164
141528,141529,0,0,0.09625575
15195,15196,0,0,0.05411793
89611,89612,0,0,0.06911127
148339,148340,0,0,0.063184485
144500,144501,0,0,0.06827998
91678,91679,0,0,0.06284058
67920,67921,0,0,0.12263061
116192,116193,0,0,0.08860888
93318,93319,0,0,0.062444974
88940,88941,0,0,0.12367091
75007,75008,0,0,0.06447643
81050,81051,0,0,0.12183272
75510,75511,0,0,0.055255778
40991,40992,0,0,0.18517278
15021,15022,0,0,0.061130196
64231,64232,0,0,0.08223789
89496,89497,0,0,0.07626278
69901,69902,0,0,0.05949378
19269,19270,0,0,0.08920105
93179,93180,0,0,0.067292415
145935,145936,0,0,0.06553333
41049,41050,0,0,0.05024941
44080,44081,0,0,0.06785571
25973,25974,0,0,0.056087974
23871,23872,0,0,0.06291798
114717,114718,0,0,0.099560976
14536,14537,0,0,0.04826352
75871,75872,0,0,0.30097803
36946,36947,0,0,0.055537328
126542,126543,0,0,0.06068796
115458,115459,0,0,0.04985356
28066,28067,0,0,0.072667494
2443,2444,0,0,0.055990066
20374,20375,0,0,0.1628877
149154,149155,0,0,0.067399375
56085,56086,0,0,0.054979417
134086,134087,0,0,0.07490216
124394,124395,0,0,0.06762939
81251,81252,0,0,0.05340204
41114,41115,0,0,0.07156213
120649,120650,0,0,0.13832717
16332,16333,0,0,0.06879531
95697,95698,0,0,0.074413046
78945,78946,0,0,0.103824265
132211,132212,0,0,0.26810935
76860,76861,0,0,0.07844552
3393,3394,0,0,0.12551126
12304,12305,0,0,0.06729922
50914,50915,0,0,0.11062627
108969,108970,0,0,0.06853271
57582,57583,1,1,0.54908687
116672,116673,0,1,0.6357313
90719,90720,1,0,0.08129858
100789,100790,0,0,0.053756963
105007,105008,0,0,0.098003864
21360,21361,0,0,0.08151919
148555,148556,0,0,0.048931688
61077,61078,0,0,0.074487634
85605,85606,0,0,0.08978205
23994,23995,1,1,0.5663533
137560,137561,0,0,0.054318335
26331,26332,0,0,0.06797547
28580,28581,0,0,0.060724728
78447,78448,0,0,0.13394834
104934,104935,0,0,0.12627253
127520,127521,0,0,0.0950438
88272,88273,0,0,0.099885024
10465,10466,1,0,0.45009348
118444,118445,0,0,0.070376374
64457,64458,0,0,0.056787834
59962,59963,0,0,0.15101479
4536,4537,0,0,0.054365758
92613,92614,0,0,0.06250061
86787,86788,0,0,0.074093774
149029,149030,0,0,0.3301298
68161,68162,0,0,0.073786244
37431,37432,0,0,0.10340182
16105,16106,0,0,0.060330503
39310,39311,0,0,0.17827931
133579,133580,1,0,0.450471
127124,127125,1,0,0.0994064
13235,13236,0,0,0.16190104
129575,129576,0,0,0.060136516
107659,107660,0,0,0.10175937
146808,146809,0,0,0.19617836
120176,120177,0,0,0.32875627
59979,59980,0,0,0.05186581
68127,68128,0,0,0.21776879
82890,82891,0,0,0.0688049
110703,110704,0,0,0.105486974
120486,120487,0,0,0.07935556
25940,25941,0,0,0.055818602
98197,98198,0,0,0.056512825
94138,94139,0,0,0.06477741
49047,49048,0,0,0.06635682
97506,97507,0,0,0.1617972
113564,113565,0,0,0.09644789
42558,42559,0,0,0.05876788
15924,15925,1,0,0.15016079
47438,47439,0,0,0.06436528
137298,137299,0,0,0.087704845
124323,124324,0,0,0.06954452
99645,99646,0,0,0.048905473
67690,67691,0,0,0.0664332
61183,61184,0,0,0.09713038
3940,3941,0,0,0.070814036
79195,79196,0,0,0.2543846
46147,46148,0,0,0.05412373
89513,89514,0,0,0.0501272
100640,100641,0,0,0.05629064
4042,4043,0,0,0.27850816
62919,62920,0,0,0.054913245
7646,7647,0,0,0.054625954
84034,84035,0,0,0.054460853
99781,99782,0,0,0.46664736
137567,137568,0,0,0.055894047
5974,5975,0,0,0.049147245
109437,109438,0,0,0.17549972
137839,137840,0,0,0.06759547
107130,107131,0,0,0.05130135
116373,116374,1,0,0.17268032
40890,40891,0,0,0.053848457
1350,1351,0,0,0.16463187
107335,107336,0,0,0.05480591
70189,70190,0,0,0.057153516
6214,6215,0,0,0.06309696
48589,48590,0,0,0.05694163
4113,4114,0,0,0.10372872
40049,40050,0,0,0.12123979
39794,39795,0,0,0.10434228
51802,51803,0,0,0.05685264
3238,3239,0,0,0.12439979
142973,142974,0,0,0.08971441
20959,20960,0,0,0.33861554
62923,62924,0,0,0.08380535
109584,109585,1,1,0.50462604
101232,101233,0,0,0.05946487
2287,2288,0,0,0.12871821
